,,,openInterest,openInterest,volume,volume
optionType,,,calls,puts,calls,puts
symbol,strike,expiration,,,,
AAPL,125.0,2024-03-01,,12.0,,2.0
AAPL,125.0,2024-03-15,1359.0,8443.0,55.0,1632.0
AAPL,125.0,2024-04-19,103.0,1162.0,32.0,20.0
AAPL,125.0,2024-05-17,1.0,72.0,1.0,9.0
AAPL,125.0,2024-06-21,1518.0,12489.0,56.0,51.0
AAPL,125.0,2024-07-19,2.0,1608.0,1.0,148.0
AAPL,125.0,2024-08-16,1.0,12.0,1.0,4.0
AAPL,125.0,2024-09-20,410.0,1658.0,6.0,131.0
AAPL,125.0,2024-12-20,54.0,1556.0,2.0,2.0
AAPL,125.0,2025-01-17,1693.0,15941.0,52.0,13.0
AAPL,125.0,2025-06-20,451.0,2406.0,3.0,6.0
AAPL,125.0,2025-09-19,,25.0,,1.0
AAPL,125.0,2025-12-19,521.0,1659.0,6.0,33.0
AAPL,125.0,2026-01-16,167.0,455.0,1.0,40.0
AAPL,125.0,2026-06-18,78.0,52.0,1.0,4.0
AAPL,130.0,2024-01-26,2.0,358.0,3.0,150.0
AAPL,130.0,2024-02-02,42.0,322.0,40.0,20.0
AAPL,130.0,2024-02-09,1.0,27.0,1.0,6.0
AAPL,130.0,2024-02-16,97.0,2731.0,4.0,316.0
AAPL,130.0,2024-02-23,31.0,10.0,31.0,3.0
AAPL,130.0,2024-03-01,,2.0,,2.0
AAPL,130.0,2024-03-15,1382.0,7141.0,1.0,10.0
AAPL,130.0,2024-04-19,99.0,1471.0,3.0,21.0
AAPL,130.0,2024-05-17,3.0,246.0,0.0,1.0
AAPL,130.0,2024-06-21,4864.0,16673.0,2.0,101.0
AAPL,130.0,2024-07-19,5.0,393.0,1.0,197.0
AAPL,130.0,2024-08-16,3.0,39.0,0.0,18.0
AAPL,130.0,2024-09-20,393.0,15714.0,1.0,65.0
AAPL,130.0,2024-12-20,126.0,1254.0,20.0,11.0
AAPL,130.0,2025-01-17,6199.0,14644.0,18.0,68.0
AAPL,130.0,2025-06-20,918.0,3416.0,5.0,18.0
AAPL,130.0,2025-09-19,19.0,86.0,17.0,1.0
AAPL,130.0,2025-12-19,573.0,3288.0,2.0,10.0
AAPL,130.0,2026-01-16,414.0,427.0,3.0,52.0
AAPL,130.0,2026-06-18,6.0,82.0,1.0,4.0
AAPL,135.0,2024-01-26,33.0,192.0,34.0,55.0
AAPL,135.0,2024-02-02,3.0,66.0,1.0,1.0
AAPL,135.0,2024-02-09,1.0,45.0,1.0,2.0
AAPL,135.0,2024-02-16,153.0,3132.0,2.0,149.0
AAPL,135.0,2024-02-23,,93.0,,13.0
AAPL,135.0,2024-03-01,1.0,6.0,0.0,3.0
AAPL,135.0,2024-03-15,1123.0,5524.0,3.0,17.0
AAPL,135.0,2024-04-19,56.0,2201.0,1.0,10.0
AAPL,135.0,2024-05-17,81.0,71.0,3.0,11.0
AAPL,135.0,2024-06-21,5225.0,11353.0,3.0,51.0
AAPL,135.0,2024-07-19,22.0,251.0,10.0,11.0
AAPL,135.0,2024-08-16,2.0,409.0,0.0,249.0
AAPL,135.0,2024-09-20,402.0,4486.0,4.0,9.0
AAPL,135.0,2024-12-20,357.0,1381.0,3.0,24.0
AAPL,135.0,2025-01-17,9977.0,16775.0,47.0,120.0
AAPL,135.0,2025-06-20,412.0,1739.0,1.0,74.0
AAPL,135.0,2025-09-19,3.0,82.0,2.0,10.0
AAPL,135.0,2025-12-19,1060.0,641.0,4.0,5.0
AAPL,135.0,2026-01-16,285.0,617.0,2.0,37.0
AAPL,135.0,2026-06-18,480.0,27.0,444.0,5.0
AAPL,140.0,2024-01-26,7.0,171.0,1.0,5.0
AAPL,140.0,2024-02-02,18.0,368.0,11.0,144.0
AAPL,140.0,2024-02-09,3.0,85.0,1.0,8.0
AAPL,140.0,2024-02-16,380.0,4048.0,5.0,1576.0
AAPL,140.0,2024-02-23,3.0,132.0,2.0,13.0
